,Status_id,Datetime,Day_id,User_id,User_name,User_screen_name,Text,Retweet_Count,Favorite_Count,Is_Retweet,Full_Text,Sentiment_score1,Sentiment_score2,Sentiment_pool
379,1266958705645555712,2020-05-31 00:04:29-05:00,05312020,2733829305,Juan Martín Trujillo,juanmartintru,@BarceGiorgio @Lenin @MashiRafael Así de irresponsable eres con tus comentarios. No te da vergüenza defender al gob… https://t.co/9vnZWJHFFT,0,0,False,@BarceGiorgio @Lenin @MashiRafael Así de irresponsable eres con tus comentarios. No te da vergüenza defender al gobierno de Moreno. Qué pasó cuando se supo del primer caso de covid 19 en Ecuador? Cuáles fueron las medidas y los recursos que se tomaron?,0.75766206,0.83252984,0.7950959
378,1266958871228268547,2020-05-31 00:05:08-05:00,05312020,2174043705,Mario Viteri,MviteriArcos,Moreno  @Lenin deja de huevear o a esto te expones...!!! Y ya bótale al Martínez @RichardM_A o seguirá haciendo más… https://t.co/U0yHUc4NUa,1,1,False,Moreno  @Lenin deja de huevear o a esto te expones...!!! Y ya bótale al Martínez @RichardM_A o seguirá haciendo más pendejadas...!!! Aunque no sé si te das cuenta....??? @ecuainm_oficial @EcuavisaInforma @24horasUIO https://t.co/1g4EEprtzn,0.630416,0.3443406,0.4873783
377,1266962613923086336,2020-05-31 00:20:00-05:00,05312020,204339355,Jayalasa,jayalasa,"Sr @CancilleriaEc al Sr José Valencia se le dispuso la creación de esta comisión 
¿cuáles son los resultados?  Lení… https://t.co/bw6I3Nqx1n",0,0,False,"Sr @CancilleriaEc al Sr José Valencia se le dispuso la creación de esta comisión 
¿cuáles son los resultados?  Lenín Moreno anuncia creación de Comisión Internacional Anticorrupción https://t.co/GKFgthIgC5",0.33531833,0.22307748,0.2791979
376,1266963662134263810,2020-05-31 00:24:10-05:00,05312020,48440451,gerardo lopez,gerardbey,A Lenin Moreno se le incendió el país el año pasado por mucho menos y los chavistas hicieron fiesta...,0,1,False,A Lenin Moreno se le incendió el país el año pasado por mucho menos y los chavistas hicieron fiesta...,0.26333615,0.4180351,0.3406856
375,1266966409646653441,2020-05-31 00:35:05-05:00,05312020,597410218,Alejandro Kirk,KirkReportero,@DoctorPurto @aros_anita Lenin Moreno también hablaba solo con una foto de Merkel. Son asi.,0,0,False,@DoctorPurto @aros_anita Lenin Moreno también hablaba solo con una foto de Merkel. Son asi.,0.5268557,0.7503334,0.63859457
374,1266968510997114881,2020-05-31 00:43:26-05:00,05312020,456161269,NotiCiertas Comunicación Ec,NotiCiertas,"Cree Ud. Qué ¿Los #Bucaram no son investigados porque son protegidos de Lenin Moreno o de Pablo Celi?

 https://t.co/PGJiRpuDAD",33,40,False,"Cree Ud. Qué ¿Los #Bucaram no son investigados porque son protegidos de Lenin Moreno o de Pablo Celi?

 https://t.co/PGJiRpuDAD",0.6528298,0.17008504,0.41145742
373,1266968971292618754,2020-05-31 00:45:16-05:00,05312020,300977139,juan moreno,juanmoreno25,Cree Ud. Qué ¿Los Bucaram no son investigados porque son protegidos de Lenin Moreno o de Pablo Celi? – República de… https://t.co/0Bf56VBs2Z,1,2,False,Cree Ud. Qué ¿Los Bucaram no son investigados porque son protegidos de Lenin Moreno o de Pablo Celi? – República del Banano https://t.co/8m9q9AzigT,0.8454455,0.17008504,0.5077653
372,1266969135533248512,2020-05-31 00:45:55-05:00,05312020,1246981044219383808,Alejandro Vásquez,Alejand36113598,@brnepbl @Lenin @DrJuanCZevallos Que chistoso tod@s las que apoyan a Moreno se han unido a Twitter a finales de 2019 no te parece curioso?,0,0,False,@brnepbl @Lenin @DrJuanCZevallos Que chistoso tod@s las que apoyan a Moreno se han unido a Twitter a finales de 2019 no te parece curioso?,0.6465484,0.7136549,0.68010163
371,1266971074165604352,2020-05-31 00:53:37-05:00,05312020,3358043488,Philip V.,PhilipAMLC,Lenin Moreno lo vendio. Lenin Moreno lo esta matando. No le deseo nada bueno al cuantico asquerozo. El Corona no hi… https://t.co/qhQYTiOvzg,0,1,False,Lenin Moreno lo vendio. Lenin Moreno lo esta matando. No le deseo nada bueno al cuantico asquerozo. El Corona no hizo su trabajo....todavia! https://t.co/J6NMkuNUOH,0.25326505,0.38586837,0.31956673
370,1266973457755054081,2020-05-31 01:03:06-05:00,05312020,1024143940507901952,EraseUnaVez,MagdaJenny1,"Roldán: “Lenín Moreno decide de quién se rodea”.
Y se nota .. que le gusta lo peorcito };-)
Misma mafia correísta 😤 https://t.co/akdICGtBG2",0,0,False,"Roldán: “Lenín Moreno decide de quién se rodea”.
Y se nota .. que le gusta lo peorcito };-)
Misma mafia correísta 😤 https://t.co/akdICGtBG2",0.748438,0.050539255,0.39948863
